# 複合語一覧 (3,357 語) — V1_expand_vow: 拡張: slot 2 (V_a) に 'i' 追加 → [o, y, i]
# 形式: [N基] 元語  ->  base1 + base2 + ...

[4基] choikhy  ->  c + h + oik + hy
[4基] choiphy  ->  c + h + oip + hy
[2基] chokaiin  ->  c + hokaiin
[2基] chokain  ->  c + hokain
[2基] chokair  ->  c + hokair
[2基] chokal  ->  c + hokal
[2基] chokaly  ->  c + hokaly
[2基] chokam  ->  c + hokam
[2基] chokan  ->  c + hokan
[2基] chokar  ->  c + hokar
[2基] chokaro  ->  c + hokaro
[2基] chokchaiin  ->  c + hokchaiin
[2基] chokchedy  ->  c + hokchedy
[2基] chokcheey  ->  c + hokcheey
[2基] chokcheo  ->  c + hokcheo
[2基] chokchey  ->  c + hokchey
[2基] chokcho  ->  c + hokcho
[2基] chokchodaiin  ->  c + hokchodaiin
[2基] chokchol  ->  c + hokchol
[2基] chokchor  ->  c + hokchor
[2基] chokchy  ->  c + hokchy
[2基] chokcod  ->  c + hokcod
[2基] chokeal  ->  c + hokeal
[2基] choked  ->  c + hoked
[2基] chokedair  ->  c + hokedair
[2基] chokedy  ->  c + hokedy
[2基] chokeear  ->  c + hokeear
[2基] chokeed  ->  c + hokeed
[2基] chokeedam  ->  c + hokeedam
[2基] chokeedy  ->  c + hokeedy
[2基] chokeeey  ->  c + hokeeey
[2基] chokeeo  ->  c + hokeeo
[2基] chokeeodol  ->  c + hokeeodol
[2基] chokeeody  ->  c + hokeeody
[4基] chokeeoky  ->  c + h + okee + oky
[2基] chokeeor  ->  c + hokeeor
[2基] chokees  ->  c + hokees
[2基] chokeey  ->  c + hokeey
[2基] chokeo  ->  c + hokeo
[2基] chokeod  ->  c + hokeod
[2基] chokeody  ->  c + hokeody
[2基] chokeol  ->  c + hokeol
[2基] chokeor  ->  c + hokeor
[2基] chokeos  ->  c + hokeos
[4基] chokesey  ->  c + h + oke + sey
[2基] chokey  ->  c + hokey
[2基] choko  ->  c + hoko
[2基] chokoaiin  ->  c + hokoaiin
[2基] chokody  ->  c + hokody
[2基] chokoiin  ->  c + hokoiin
[4基] chokoishe  ->  c + h + ok + oishe
[4基] chokokor  ->  c + h + ok + okor
[2基] chokol  ->  c + hokol
[4基] chokoldy  ->  c + h + ok + oldy
[4基] chokolg  ->  c + h + ok + olg
[2基] chokor  ->  c + hokor
[4基] chokoran  ->  c + h + ok + oran
[2基] chokory  ->  c + hokory
[2基] chokshchy  ->  c + hokshchy
[2基] chokshor  ->  c + hokshor
[2基] chokshy  ->  c + hokshy
[2基] choksy  ->  c + hoksy
[2基] choky  ->  c + hoky
[2基] chokyt  ->  c + hokyt
[2基] cholaiim  ->  c + holaiim
[2基] cholaiin  ->  c + holaiin
[2基] cholairy  ->  c + holairy
[2基] cholal  ->  c + holal
[2基] cholaly  ->  c + holaly
[2基] cholam  ->  c + holam
[2基] cholar  ->  c + holar
[3基] cholchaiin  ->  c + h + olchaiin
[3基] cholcham  ->  c + h + olcham
[3基] cholchedy  ->  c + h + olchedy
[3基] cholchey  ->  c + h + olchey
[2基] choldaiin  ->  c + holdaiin
[2基] choldal  ->  c + holdal
[2基] choldar  ->  c + holdar
[3基] choldchy  ->  c + h + oldchy
[3基] choldshy  ->  c + h + oldshy
[2基] choldy  ->  c + holdy
[3基] cholfchy  ->  c + h + olfchy
[3基] cholfor  ->  c + h + olfor
[3基] cholfy  ->  c + h + olfy
[3基] cholkaiin  ->  c + h + olkaiin
[3基] cholkain  ->  c + h + olkain
[3基] cholkal  ->  c + h + olkal
[3基] cholkar  ->  c + h + olkar
[3基] cholkched  ->  c + h + olkched
[3基] cholkcheol  ->  c + h + olkcheol
[3基] cholkchy  ->  c + h + olkchy
[3基] cholkeedy  ->  c + h + olkeedy
[3基] cholkeeedy  ->  c + h + olkeeedy
[3基] cholkeeey  ->  c + h + olkeeey
[3基] cholkeey  ->  c + h + olkeey
[3基] cholkeod  ->  c + h + olkeod
[3基] cholkshedy  ->  c + h + olkshedy
[3基] cholky  ->  c + h + olky
[2基] cholody  ->  c + holody
[2基] cholol  ->  c + holol
[4基] chololer  ->  c + h + ol + oler
[2基] cholols  ->  c + holols
[2基] chololy  ->  c + hololy
[2基] cholor  ->  c + holor
[2基] choloro  ->  c + holoro
[3基] cholpchd  ->  c + h + olpchd
[3基] cholraly  ->  c + h + olraly
[3基] cholsho  ->  c + h + olsho
[3基] choltaiin  ->  c + h + oltaiin
[3基] choltal  ->  c + h + oltal
[3基] choltaly  ->  c + h + oltaly
[3基] choltam  ->  c + h + oltam
[3基] choltar  ->  c + h + oltar
[3基] cholty  ->  c + h + olty
[4基] cholxy  ->  c + h + o + lxy
[4基] choolkeey  ->  c + h + o + olkeey
[2基] chopar  ->  c + hopar
[2基] chopchal  ->  c + hopchal
[2基] chopchdy  ->  c + hopchdy
[2基] chopchedy  ->  c + hopchedy
[2基] chopcheey  ->  c + hopcheey
[4基] chopcheopchy  ->  c + h + opche + opchy
[2基] chopchey  ->  c + hopchey
[2基] chopcho  ->  c + hopcho
[2基] chopchol  ->  c + hopchol
[2基] chopchy  ->  c + hopchy
[2基] chopdain  ->  c + hopdain
[2基] chopo  ->  c + hopo
[2基] chopol  ->  c + hopol
[2基] chopy  ->  c + hopy
[2基] choraiin  ->  c + horaiin
[2基] chorain  ->  c + horain
[2基] choraly  ->  c + horaly
[2基] chorar  ->  c + horar
[4基] chorcholsal  ->  c + h + orc + holsal
[2基] chorchor  ->  c + horchor
[2基] chorchy  ->  c + horchy
[2基] chordom  ->  c + hordom
[2基] chordy  ->  c + hordy
[3基] chorochy  ->  c + h + orochy
[2基] chorody  ->  c + horody
[2基] choroiin  ->  c + horoiin
[2基] chorol  ->  c + horol
[2基] chorolk  ->  c + horolk
[2基] chorom  ->  c + horom
[2基] choror  ->  c + horor
[2基] choross  ->  c + hoross
[4基] chosaroshol  ->  c + h + osa + roshol
[3基] choschy  ->  c + h + oschy
[2基] choshy  ->  c + hoshy
[2基] choshydy  ->  c + hoshydy
[2基] chotaiin  ->  c + hotaiin
[2基] chotain  ->  c + hotain
[2基] chotair  ->  c + hotair
[2基] chotais  ->  c + hotais
[2基] chotal  ->  c + hotal
[2基] chotals  ->  c + hotals
[2基] chotam  ->  c + hotam
[2基] chotar  ->  c + hotar
[2基] chotchdy  ->  c + hotchdy
[2基] chotchedy  ->  c + hotchedy
[2基] chotcheey  ->  c + hotcheey
[2基] chotcheol  ->  c + hotcheol
[2基] chotchey  ->  c + hotchey
[4基] chotcheytchol  ->  c + h + otche + ytchol
[2基] chotcho  ->  c + hotcho
[2基] chotchody  ->  c + hotchody
[2基] chotchol  ->  c + hotchol
[2基] chotchs  ->  c + hotchs
[2基] chotchy  ->  c + hotchy
[2基] chotear  ->  c + hotear
[2基] chotedy  ->  c + hotedy
[2基] choteedy  ->  c + hoteedy
[2基] choteeen  ->  c + hoteeen
[2基] choteeey  ->  c + hoteeey
[2基] choteey  ->  c + hoteey
[4基] chotehy  ->  c + h + ote + hy
[2基] choteody  ->  c + hoteody
[4基] choteoky  ->  c + h + ote + oky
[2基] choteol  ->  c + hoteol
[2基] choteoly  ->  c + hoteoly
[2基] choteos  ->  c + hoteos
[2基] chotey  ->  c + hotey
[2基] choto  ->  c + hoto
[2基] chotody  ->  c + hotody
[2基] chotol  ->  c + hotol
[2基] chotols  ->  c + hotols
[2基] chotom  ->  c + hotom
[2基] chotor  ->  c + hotor
[2基] chots  ->  c + hots
[2基] chotshe  ->  c + hotshe
[2基] chotshol  ->  c + hotshol
[2基] chotshy  ->  c + hotshy
[2基] choty  ->  c + hoty
[4基] chotyokchy  ->  c + h + ot + yokchy
[2基] chotyr  ->  c + hotyr
[3基] choypshedy  ->  c + h + oypshedy
[4基] chpadar  ->  c + h + pa + dar
[4基] chpaiikey  ->  c + h + pai + ikey
[4基] chparam  ->  c + h + pa + ram
[2基] chpchar  ->  c + hpchar
[2基] chpchedy  ->  c + hpchedy
[2基] chpcheod  ->  c + hpcheod
[2基] chpcheor  ->  c + hpcheor
[2基] chpcheos  ->  c + hpcheos
[2基] chpchey  ->  c + hpchey
[2基] chpchol  ->  c + hpchol
[2基] chpchs  ->  c + hpchs
[2基] chpchshdy  ->  c + hpchshdy
[2基] chpchy  ->  c + hpchy
[4基] chpeeeey  ->  c + h + pe + eeey
[4基] chpkcheos  ->  c + h + p + kcheos
[2基] chpsheedy  ->  c + hpsheedy
[2基] chrky  ->  c + hrky
[4基] chsamoky  ->  c + h + sam + oky
[3基] chschsa  ->  c + h + schsa
[3基] chsea  ->  c + h + sea
[3基] chseeor  ->  c + h + seeor
[3基] chsey  ->  c + h + sey
[2基] chshek  ->  c + hshek
[3基] chshoty  ->  c + h + shoty
[3基] chskar  ->  c + h + skar
[3基] chsky  ->  c + h + sky
[4基] chtaem  ->  c + h + ta + em
[4基] chtaldy  ->  c + h + ta + ldy
[2基] chtchey  ->  c + htchey
[2基] chtchol  ->  c + htchol
[2基] chtchor  ->  c + htchor
[2基] chtchy  ->  c + htchy
[2基] chtchyf  ->  c + htchyf
[2基] chtedy  ->  c + htedy
[4基] chtedytar  ->  c + h + te + dytar
[2基] chteeor  ->  c + hteeor
[2基] chteey  ->  c + hteey
[2基] chteody  ->  c + hteody
[4基] chteokeeiin  ->  c + h + te + okeeiin
[2基] chteor  ->  c + hteor
[2基] chtey  ->  c + htey
[2基] chtodaiin  ->  c + htodaiin
[4基] chtoithy  ->  c + h + toit + hy
[4基] chtorol  ->  c + h + t + orol
[2基] chtshar  ->  c + htshar
[2基] chtshy  ->  c + htshy
[3基] chxar  ->  c + h + xar
[2基] chykaiin  ->  c + hykaiin
[4基] chykald  ->  c + h + yka + ld
[2基] chykar  ->  c + hykar
[2基] chykchr  ->  c + hykchr
[2基] chykchy  ->  c + hykchy
[2基] chykeedy  ->  c + hykeedy
[2基] chykeor  ->  c + hykeor
[2基] chykey  ->  c + hykey
[2基] chyky  ->  c + hyky
[4基] chypaldy  ->  c + h + ypa + ldy
[2基] chypcham  ->  c + hypcham
[2基] chypchey  ->  c + hypchey
[2基] chypchy  ->  c + hypchy
[3基] chyqo  ->  c + h + yqo
[4基] chytaroiin  ->  c + h + yta + roiin
[2基] chytchy  ->  c + hytchy
[2基] chyteey  ->  c + hyteey
[2基] chyteody  ->  c + hyteody
[2基] chyty  ->  c + hyty
[2基] ckaiin  ->  c + kaiin
[2基] ckcheey  ->  c + kcheey
[2基] ckcho  ->  c + kcho
[2基] ckchol  ->  c + kchol
[2基] ckeor  ->  c + keor
[2基] ckey  ->  c + key
[4基] ckhcfhhy  ->  c + k + hcfh + hy
[4基] ckheckhy  ->  c + k + he + ckhy
[4基] ckheokey  ->  c + k + he + okey
[4基] ckhhey  ->  c + k + h + hey
[4基] ckhhy  ->  c + k + h + hy
[3基] ckhochy  ->  c + k + hochy
[3基] ckhocthy  ->  c + k + hocthy
[3基] ckholdy  ->  c + k + holdy
[2基] ckol  ->  c + kol
[3基] ckooaiin  ->  c + k + ooaiin
[2基] ckshy  ->  c + kshy
[2基] cky  ->  c + ky
[2基] coain  ->  c + oain
[2基] coeky  ->  c + oeky
[2基] cpar  ->  c + par
[2基] cpchety  ->  c + pchety
[2基] cpchy  ->  c + pchy
[4基] cphaldy  ->  c + p + ha + ldy
[4基] cpharom  ->  c + p + ha + rom
[4基] cphdaithy  ->  c + p + hdait + hy
[4基] cpheckhy  ->  c + p + he + ckhy
[4基] cpheocthy  ->  c + p + he + octhy
[4基] cphheg  ->  cp + h + he + g
[4基] cphhofy  ->  c + p + h + hofy
[4基] cphhy  ->  c + p + h + hy
[3基] cphochy  ->  c + p + hochy
[3基] cphocthy  ->  c + p + hocthy
[4基] cphodales  ->  c + p + hoda + les
[3基] cphoeedol  ->  c + p + hoeedol
[4基] cphoithy  ->  c + p + hoit + hy
[3基] cphokchol  ->  c + p + hokchol
[3基] cpholdy  ->  c + p + holdy
[4基] cpholkaiin  ->  c + p + h + olkaiin
[4基] cpholrory  ->  c + p + h + olrory
[3基] cphorods  ->  c + p + horods
[2基] cpy  ->  c + py
[2基] cseam  ->  c + seam
[4基] cseckhdy  ->  c + s + e + ckhdy
[2基] csedar  ->  c + sedar
[2基] csedly  ->  c + sedly
[2基] csedy  ->  c + sedy
[2基] cseedy  ->  c + seedy
[2基] cseeky  ->  c + seeky
[2基] cseeod  ->  c + seeod
[2基] csees  ->  c + sees
[2基] cseey  ->  c + seey
[2基] cseo  ->  c + seo
[2基] cseol  ->  c + seol
[4基] cseteeey  ->  c + s + e + teeey
[2基] cshe  ->  c + she
[2基] cskesol  ->  c + skesol
[2基] csoeky  ->  c + soeky
[2基] csol  ->  c + sol
[2基] ctar  ->  c + tar
[2基] ctchey  ->  c + tchey
[2基] ctchy  ->  c + tchy
[2基] ctechy  ->  c + techy
[2基] ctey  ->  c + tey
[4基] cthachcthy  ->  c + t + ha + chcthy
[4基] cthaichar  ->  c + t + ha + ichar
[4基] cthaildy  ->  c + t + ha + ildy
[4基] ctharad  ->  c + t + ha + rad
[4基] cthckeom  ->  c + t + hc + keom
[3基] cthcthey  ->  c + t + hcthey
[4基] cthdaoto  ->  c + t + hda + oto
[4基] cthdeecthy  ->  c + t + hdee + cthy
[4基] ctheepchy  ->  c + t + hee + pchy
[4基] ctheockhosho  ->  c + t + heock + hosho
[4基] ctheotol  ->  c + t + he + otol
[4基] cthhy  ->  c + t + h + hy
[3基] cthochy  ->  c + t + hochy
[3基] cthodoaly  ->  c + t + hodoaly
[3基] cthoepain  ->  c + t + hoepain
[3基] cthog  ->  c + t + hog
[4基] ctholcthy  ->  c + t + h + olcthy
[3基] cthold  ->  c + t + hold
[3基] ctholdar  ->  c + t + holdar
[4基] ctholdg  ->  c + t + h + oldg
[3基] ctholdy  ->  c + t + holdy
[3基] cthoral  ->  c + t + horal
[3基] cthorchy  ->  c + t + horchy
[3基] cthoshol  ->  c + t + hoshol
[3基] cthres  ->  c + t + hres
[4基] cthscthain  ->  c + t + h + scthain
[2基] cto  ->  c + to
[2基] ctody  ->  c + tody
[2基] ctoiin  ->  c + toiin
[2基] ctol  ->  c + tol
[2基] ctos  ->  c + tos
[2基] cty  ->  c + ty
[3基] daar  ->  d + a + ar
[3基] dacheedy  ->  d + a + cheedy
[3基] dachy  ->  d + a + chy
[3基] dackhy  ->  d + a + ckhy
[4基] dacsary  ->  d + a + c + sary
[3基] dadam  ->  d + a + dam
[3基] daein  ->  d + a + ein
[3基] dag  ->  d + a + g
[3基] daichy  ->  d + a + ichy
[3基] daicthy  ->  d + a + icthy
[4基] daiial  ->  d + a + i + ial
[4基] daiidal  ->  d + a + i + idal
[4基] daiiine  ->  d + a + iiin + e
[4基] daiiiolkaiin  ->  d + a + iii + olkaiin
[4基] daiiirchy  ->  d + a + ii + irchy
[4基] daiiithy  ->  d + a + iiit + hy
[4基] daiild  ->  d + a + i + ild
[4基] daiildy  ->  d + a + i + ildy
[4基] daiindy  ->  d + a + iin + dy
[4基] daiinls  ->  d + a + iin + ls
[4基] daiinol  ->  d + a + iin + ol
[4基] daiioam  ->  d + a + i + ioam
[4基] daiiody  ->  d + a + i + iody
[4基] daiiol  ->  d + a + i + iol
[4基] daiiral  ->  d + a + i + iral
[4基] daiirol  ->  d + a + i + irol
[4基] daiity  ->  d + a + i + ity
[3基] daikam  ->  d + a + ikam
[3基] daikeody  ->  d + a + ikeody
[4基] daikhyky  ->  d + a + ik + hyky
[3基] daildain  ->  d + a + ildain
[4基] daimd  ->  d + a + im + d
[4基] daimdy  ->  d + a + im + dy
[4基] daimm  ->  d + a + im + m
[4基] daimom  ->  d + a + im + om
[4基] dainaldy  ->  d + ain + a + ldy
[4基] daind  ->  d + a + in + d
[4基] daindl  ->  d + a + in + dl
[4基] daing  ->  d + a + in + g
[4基] dainkey  ->  d + a + in + key
[4基] dainod  ->  d + a + in + od
[4基] dainor  ->  d + a + in + or
[3基] dairair  ->  d + a + irair
[3基] dairal  ->  d + a + iral
[3基] dairam  ->  d + a + iram
[3基] dairar  ->  d + a + irar
[3基] dairchey  ->  d + a + irchey
[3基] daird  ->  d + a + ird
[3基] dairin  ->  d + a + irin
[3基] dairiy  ->  d + a + iriy
[3基] dairkal  ->  d + a + irkal
[4基] dairodg  ->  d + a + i + rodg
[3基] dairody  ->  d + a + irody
[3基] dairol  ->  d + a + irol
[3基] dairom  ->  d + a + irom
[3基] dairydy  ->  d + a + irydy
[3基] daisam  ->  d + a + isam
[3基] daisin  ->  d + a + isin
[3基] daisn  ->  d + a + isn
[4基] daisoldy  ->  d + a + i + soldy
[3基] dakan  ->  d + a + kan
[3基] dakar  ->  d + a + kar
[3基] dakeey  ->  d + a + keey
[4基] dakocth  ->  d + a + k + octh
[3基] daky  ->  d + a + ky
[3基] dala  ->  d + a + la
[3基] dalaiin  ->  d + a + laiin
[3基] dalain  ->  d + a + lain
[3基] dalal  ->  d + a + lal
[4基] dalaldam  ->  d + a + la + ldam
[4基] dalalody  ->  d + a + la + lody
[3基] dalaly  ->  d + a + laly
[3基] dalam  ->  d + a + lam
[3基] dalar  ->  d + a + lar
[3基] dalary  ->  d + a + lary
[3基] dalas  ->  d + a + las
[3基] dalchckhy  ->  d + a + lchckhy
[3基] dalchd  ->  d + a + lchd
[3基] dalchdy  ->  d + a + lchdy
[3基] dalched  ->  d + a + lched
[3基] dalchedy  ->  d + a + lchedy
[3基] dalcheeeky  ->  d + a + lcheeeky
[3基] dalches  ->  d + a + lches
[3基] dalchor  ->  d + a + lchor
[3基] dalchy  ->  d + a + lchy
[3基] dald  ->  d + a + ld
[3基] daldaiin  ->  d + a + ldaiin
[3基] daldal  ->  d + a + ldal
[4基] daldalol  ->  d + a + lda + lol
[3基] daldar  ->  d + a + ldar
[3基] daldeam  ->  d + a + ldeam
[3基] daldy  ->  d + a + ldy
[3基] daleesd  ->  d + a + leesd
[3基] dalfchy  ->  d + a + lfchy
[3基] dalg  ->  d + a + lg
[3基] dalkain  ->  d + a + lkain
[3基] dalkal  ->  d + a + lkal
[4基] dalkalytam  ->  d + a + lka + lytam
[3基] dalkar  ->  d + a + lkar
[3基] dalkedy  ->  d + a + lkedy
[3基] dalkeeey  ->  d + a + lkeeey
[3基] dalkshdy  ->  d + a + lkshdy
[3基] dalky  ->  d + a + lky
[3基] dalmy  ->  d + a + lmy
[4基] dalocthhy  ->  d + a + locth + hy
[3基] dalody  ->  d + a + lody
[4基] dalohey  ->  d + a + l + ohey
[3基] daloky  ->  d + a + loky
[3基] dalol  ->  d + a + lol
[3基] dalols  ->  d + a + lols
[3基] dalom  ->  d + a + lom
[3基] dalor  ->  d + a + lor
[3基] dalorain  ->  d + a + lorain
[3基] dalory  ->  d + a + lory
[4基] dalshal  ->  d + a + l + shal
[4基] dalshdy  ->  d + a + l + shdy
[4基] dalshedo  ->  d + a + l + shedo
[4基] dalshedy  ->  d + a + l + shedy
[4基] dalshey  ->  d + a + l + shey
[4基] dalshy  ->  d + a + l + shy
[3基] daltedy  ->  d + a + ltedy
[4基] dalteoshy  ->  d + a + lteo + shy
[3基] dalychs  ->  d + a + lychs
[3基] dalydal  ->  d + a + lydal
[4基] damamm  ->  d + am + am + m
[4基] damom  ->  d + a + m + om
[3基] daoly  ->  d + a + oly
[3基] daor  ->  d + a + or
[3基] dara  ->  d + a + ra
[3基] daraiiin  ->  d + a + raiiin
[3基] daraiin  ->  d + a + raiin
[4基] daraiinm  ->  d + a + raiin + m
[4基] darailchedy  ->  d + a + rai + lchedy
[3基] darair  ->  d + a + rair
[3基] daral  ->  d + a + ral
[4基] darala  ->  d + a + ra + la
[3基] darall  ->  d + a + rall
[4基] daraloikhy  ->  da + ra + loik + hy
[3基] daraly  ->  d + a + raly
[3基] daram  ->  d + a + ram
[4基] daramdal  ->  d + a + ram + dal
[3基] darams  ->  d + a + rams
[3基] darar  ->  d + a + rar
[4基] dararal  ->  d + a + ra + ral
[4基] dararda  ->  d + a + ra + rda
[3基] darchdar  ->  d + a + rchdar
[3基] darchedy  ->  d + a + rchedy
[3基] darcheedal  ->  d + a + rcheedal
[3基] darcheos  ->  d + a + rcheos
[3基] darchey  ->  d + a + rchey
[3基] darchor  ->  d + a + rchor
[3基] darchy  ->  d + a + rchy
[3基] dardam  ->  d + a + rdam
[3基] dardsh  ->  d + a + rdsh
[3基] dardy  ->  d + a + rdy
[3基] dardyr  ->  d + a + rdyr
[3基] dareky  ->  d + a + reky
[3基] dariin  ->  d + a + riin
[3基] dario  ->  d + a + rio
[3基] daroal  ->  d + a + roal
[3基] darod  ->  d + a + rod
[3基] darodsf  ->  d + a + rodsf
[3基] darody  ->  d + a + rody
[3基] darol  ->  d + a + rol
[3基] darolaly  ->  d + a + rolaly
[3基] darolm  ->  d + a + rolm
[3基] darolsy  ->  d + a + rolsy
[3基] darom  ->  d + a + rom
[3基] daror  ->  d + a + ror
[3基] darordaiin  ->  d + a + rordaiin
[3基] darory  ->  d + a + rory
[4基] darshey  ->  d + a + r + shey
[4基] darshody  ->  d + a + r + shody
[3基] daryry  ->  d + a + ryry
[3基] dasady  ->  d + a + sady
[3基] dasaiin  ->  d + a + saiin
[3基] dasain  ->  d + a + sain
[3基] dasam  ->  d + a + sam
[3基] dasar  ->  d + a + sar
[3基] dasd  ->  d + a + sd
[3基] dateey  ->  d + a + teey
[3基] dayty  ->  d + a + yty
[4基] dchairam  ->  d + c + ha + iram
[4基] dchdaldy  ->  d + c + hda + ldy
[4基] dcheckhey  ->  d + c + he + ckhey
[4基] dcheeckhos  ->  d + c + hee + ckhos
[4基] dcheecthey  ->  d + c + hee + cthey
[4基] dcheeokeody  ->  d + c + hee + okeody
[4基] dchefoey  ->  d + c + hef + oey
[4基] dchekcsdy  ->  d + c + hekc + sdy
[4基] dcheoky  ->  d + c + he + oky
[4基] dcheoldy  ->  d + c + he + oldy
[4基] dcheoteos  ->  d + c + he + oteos
[4基] dcheoty  ->  d + c + he + oty
[4基] dcheytain  ->  d + c + he + ytain
[3基] dchochar  ->  d + c + hochar
[3基] dchodees  ->  d + c + hodees
[3基] dchog  ->  d + c + hog
[3基] dchokchr  ->  d + c + hokchr
[3基] dchokchy  ->  d + c + hokchy
[3基] dchokey  ->  d + c + hokey
[3基] dchokol  ->  d + c + hokol
[3基] dcholal  ->  d + c + holal
[3基] dcholdy  ->  d + c + holdy
[3基] dchorol  ->  d + c + horol
[3基] dchoty  ->  d + c + hoty
[3基] dchreo  ->  d + c + hreo
[4基] dchschy  ->  d + c + h + schy
[4基] dchsykchy  ->  d + c + h + sykchy
[3基] dchykchy  ->  d + c + hykchy
[3基] dchykey  ->  d + c + hykey
[3基] dchyky  ->  d + c + hyky
[3基] dchytchy  ->  d + c + hytchy
[3基] dcky  ->  d + c + ky
[3基] dcsedy  ->  d + c + sedy
[3基] dcsesor  ->  d + c + sesor
[4基] dechoekol  ->  d + e + c + hoekol
[3基] decthdy  ->  d + e + cthdy
[3基] dedloy  ->  d + e + dloy
[4基] deeamshol  ->  d + e + eam + shol
[4基] deedes  ->  d + e + e + des
[4基] deeeese  ->  d + e + eee + se
[4基] deeocthey  ->  d + e + e + octhey
[4基] deeschdy  ->  d + e + e + schdy
[3基] desey  ->  d + e + sey
[3基] deshedy  ->  d + e + shedy
[4基] dkarar  ->  d + k + a + rar
[4基] dkeeeg  ->  d + k + eee + g
[3基] dkochy  ->  d + k + ochy
[2基] dlchd  ->  d + lchd
[2基] dlchy  ->  d + lchy
[2基] dlkal  ->  d + lkal
[4基] dlocta  ->  d + l + oc + ta
[3基] dlshedy  ->  d + l + shedy
[2基] dlssho  ->  d + lssho
[4基] doeedey  ->  d + o + ee + dey
[4基] doeeeesm  ->  d + o + e + eeesm
[4基] doefshey  ->  d + o + e + fshey
[4基] doeoeas  ->  d + o + e + oeas
[4基] doiiram  ->  d + o + i + iram
[4基] doiisaly  ->  d + o + i + isaly
[4基] doikhy  ->  d + o + ik + hy
[2基] doiros  ->  d + oiros
[4基] doithy  ->  d + o + it + hy
[4基] dolaram  ->  d + o + la + ram
[2基] dolchds  ->  d + olchds
[2基] dolchedy  ->  d + olchedy
[2基] dolcheedy  ->  d + olcheedy
[2基] dolcheey  ->  d + olcheey
[2基] dolchey  ->  d + olchey
[2基] dolchl  ->  d + olchl
[2基] dolchoy  ->  d + olchoy
[4基] dolchsyckheol  ->  d + o + lch + syckheol
[2基] doledy  ->  d + oledy
[2基] doleed  ->  d + oleed
[2基] doleeey  ->  d + oleeey
[2基] doleodaiin  ->  d + oleodaiin
[2基] dolfchedy  ->  d + olfchedy
[2基] dolkain  ->  d + olkain
[2基] dolkchy  ->  d + olkchy
[2基] dolkedy  ->  d + olkedy
[2基] dolkeedy  ->  d + olkeedy
[2基] dolshed  ->  d + olshed
[2基] dolshedy  ->  d + olshedy
[2基] dolshy  ->  d + olshy
[2基] doltshdy  ->  d + oltshdy
[4基] dotsey  ->  d + o + t + sey
[4基] dralas  ->  d + r + a + las
[2基] dscheey  ->  d + scheey
[4基] dsechey  ->  d + s + e + chey
[2基] dshcheal  ->  d + shcheal
[4基] dsheckhy  ->  d + s + he + ckhy
[4基] dsheeoteey  ->  d + s + hee + oteey
[4基] dsheog  ->  d + s + he + og
[2基] dsholdy  ->  d + sholdy
[2基] dsholyd  ->  d + sholyd
[2基] dxar  ->  d + xar
[4基] dycheckhy  ->  d + y + che + ckhy
[4基] dychokchy  ->  d + y + c + hokchy
[4基] dydariin  ->  d + y + da + riin
[2基] dylches  ->  d + ylches
[2基] dylchsody  ->  d + ylchsody
[2基] dyotyds  ->  d + yotyds
[3基] ealam  ->  e + a + lam
[2基] echedy  ->  e + chedy
[4基] echkolal  ->  e + c + hk + olal
[2基] echty  ->  e + chty
[3基] ecky  ->  e + c + ky
[3基] eeckhy  ->  e + e + ckhy
[4基] eeecfhy  ->  e + e + e + cfhy
[4基] eeedeed  ->  e + e + e + deed
[2基] eeeey  ->  e + eeey
[4基] eeeokor  ->  e + e + e + okor
[4基] eeeoloy  ->  e + e + e + oloy
[3基] eeoeety  ->  e + e + oeety
[3基] eeoseeos  ->  e + e + oseeos
[3基] eesey  ->  e + e + sey
[3基] eetees  ->  e + e + tees
[4基] efaloir  ->  e + f + a + loir
[2基] efchedy  ->  e + fchedy
[2基] ekchey  ->  e + kchey
[2基] ekchody  ->  e + kchody
[2基] ekedy  ->  e + kedy
[2基] ekeey  ->  e + keey
[4基] ekeolol  ->  e + k + e + olol
[2基] ekey  ->  e + key
[3基] ekokeey  ->  e + k + okeey
[2基] ekshy  ->  e + kshy
[2基] eocthy  ->  e + octhy
[2基] eokeeor  ->  e + okeeor
[2基] eoky  ->  e + oky
[4基] eoporchy  ->  e + o + p + orchy
[2基] eotar  ->  e + otar
[4基] epairody  ->  e + p + a + irody
[2基] epchey  ->  e + pchey
[2基] epchy  ->  e + pchy
[2基] ereoly  ->  e + reoly
[2基] esechor  ->  e + sechor
[2基] esedy  ->  e + sedy
[2基] eses  ->  e + ses
[2基] etchal  ->  e + tchal
[2基] etcheody  ->  e + tcheody
[2基] etedy  ->  e + tedy
[2基] eteeda  ->  e + teeda
[2基] eteedy  ->  e + teedy
[2基] eteeys  ->  e + teeys
[2基] eteodys  ->  e + teodys
[2基] eteor  ->  e + teor
[3基] etocho  ->  e + t + ocho
[2基] etodaiin  ->  e + todaiin
[4基] etodaithey  ->  e + t + odait + hey
[3基] etolctheol  ->  e + t + olctheol
[3基] etoteear  ->  e + t + oteear
[3基] etsees  ->  e + t + sees
[3基] fachys  ->  f + a + chys
[4基] faiiral  ->  f + a + i + iral
[4基] famom  ->  f + a + m + om
[3基] fardam  ->  f + a + rdam
[4基] farsheey  ->  f + a + r + sheey
[4基] fchecfhy  ->  f + c + he + cfhy
